country,date,tot_cases,cumulative_cases,days_elapsed,end_date,end_label
UK,2020-05-23,284,50471,76,FALSE,NA
China,2020-05-24,0,4706,123,FALSE,NA
France,2020-05-24,-80,28372,78,FALSE,NA
Turkey,2020-05-24,32,4340,63,FALSE,NA
UK,2020-05-24,281,50752,77,FALSE,NA
China,2020-05-25,0,4706,124,FALSE,NA
France,2020-05-25,89,28461,79,FALSE,NA
Turkey,2020-05-25,29,4369,64,FALSE,NA
UK,2020-05-25,279,51031,78,FALSE,NA
China,2020-05-26,1,4707,125,FALSE,NA
France,2020-05-26,137,28598,80,FALSE,NA
Turkey,2020-05-26,28,4397,65,FALSE,NA
UK,2020-05-26,300,51331,79,FALSE,NA
China,2020-05-27,1,4708,126,FALSE,NA
France,2020-05-27,1,28599,81,FALSE,NA
Turkey,2020-05-27,34,4431,66,FALSE,NA
UK,2020-05-27,282,51613,80,FALSE,NA
China,2020-05-28,0,4708,127,FALSE,NA
France,2020-05-28,67,28666,82,FALSE,NA
Turkey,2020-05-28,30,4461,67,FALSE,NA
UK,2020-05-28,288,51901,81,FALSE,NA
China,2020-05-29,0,4708,128,FALSE,NA
France,2020-05-29,51,28717,83,FALSE,NA
Turkey,2020-05-29,28,4489,68,FALSE,NA
UK,2020-05-29,254,52155,82,FALSE,NA
China,2020-05-30,0,4708,129,FALSE,NA
France,2020-05-30,57,28774,84,FALSE,NA
Turkey,2020-05-30,26,4515,69,FALSE,NA
UK,2020-05-30,219,52374,83,FALSE,NA
China,2020-05-31,0,4708,130,FALSE,NA
France,2020-05-31,31,28805,85,FALSE,NA
Turkey,2020-05-31,25,4540,70,FALSE,NA
UK,2020-05-31,195,52569,84,FALSE,NA
China,2020-06-01,0,4708,131,FALSE,NA
France,2020-06-01,32,28837,86,FALSE,NA
Turkey,2020-06-01,23,4563,71,FALSE,NA
UK,2020-06-01,199,52768,85,FALSE,NA
China,2020-06-02,0,4708,132,FALSE,NA
France,2020-06-02,106,28943,87,FALSE,NA
Turkey,2020-06-02,22,4585,72,FALSE,NA
UK,2020-06-02,233,53001,86,FALSE,NA
China,2020-06-03,0,4708,133,FALSE,NA
France,2020-06-03,81,29024,88,FALSE,NA
Turkey,2020-06-03,24,4609,73,FALSE,NA
UK,2020-06-03,203,53204,87,FALSE,NA
China,2020-06-04,0,4708,134,FALSE,NA
France,2020-06-04,45,29069,89,FALSE,NA
Turkey,2020-06-04,21,4630,74,FALSE,NA
UK,2020-06-04,184,53388,88,FALSE,NA
China,2020-06-05,0,4708,135,FALSE,NA
France,2020-06-05,45,29114,90,FALSE,NA
Turkey,2020-06-05,18,4648,75,FALSE,NA
UK,2020-06-05,184,53572,89,FALSE,NA
China,2020-06-06,0,4708,136,FALSE,NA
France,2020-06-06,31,29145,91,FALSE,NA
Turkey,2020-06-06,21,4669,76,FALSE,NA
UK,2020-06-06,151,53723,90,FALSE,NA
China,2020-06-07,0,4708,137,FALSE,NA
France,2020-06-07,13,29158,92,FALSE,NA
Turkey,2020-06-07,23,4692,77,FALSE,NA
UK,2020-06-07,163,53886,91,FALSE,NA
China,2020-06-08,0,4708,138,FALSE,NA
France,2020-06-08,55,29213,93,FALSE,NA
Turkey,2020-06-08,19,4711,78,FALSE,NA
UK,2020-06-08,161,54047,92,FALSE,NA
China,2020-06-09,0,4708,139,FALSE,NA
France,2020-06-09,88,29301,94,FALSE,NA
Turkey,2020-06-09,18,4729,79,FALSE,NA
UK,2020-06-09,137,54184,93,FALSE,NA
China,2020-06-10,0,4708,140,FALSE,NA
France,2020-06-10,21,29322,95,FALSE,NA
Turkey,2020-06-10,17,4746,80,FALSE,NA
UK,2020-06-10,166,54350,94,FALSE,NA
China,2020-06-11,0,4708,141,FALSE,NA
France,2020-06-11,27,29349,96,FALSE,NA
Turkey,2020-06-11,17,4763,81,FALSE,NA
UK,2020-06-11,121,54471,95,FALSE,NA
China,2020-06-12,0,4708,142,FALSE,NA
France,2020-06-12,28,29377,97,FALSE,NA
Turkey,2020-06-12,15,4778,82,FALSE,NA
UK,2020-06-12,135,54606,96,FALSE,NA
China,2020-06-13,0,4708,143,FALSE,NA
France,2020-06-13,24,29401,98,FALSE,NA
Turkey,2020-06-13,14,4792,83,FALSE,NA
UK,2020-06-13,101,54707,97,FALSE,NA
China,2020-06-14,0,4708,144,FALSE,NA
France,2020-06-14,10,29411,99,FALSE,NA
Turkey,2020-06-14,15,4807,84,FALSE,NA
UK,2020-06-14,136,54843,98,FALSE,NA
China,2020-06-15,0,4708,145,FALSE,NA
France,2020-06-15,28,29439,100,FALSE,NA
Turkey,2020-06-15,18,4825,85,FALSE,NA
UK,2020-06-15,107,54950,99,FALSE,NA
China,2020-06-16,0,4708,146,FALSE,NA
France,2020-06-16,114,29553,101,FALSE,NA
Turkey,2020-06-16,17,4842,86,FALSE,NA
UK,2020-06-16,120,55070,100,FALSE,NA
China,2020-06-17,0,4708,147,FALSE,NA
France,2020-06-17,25,29578,102,FALSE,NA
Turkey,2020-06-17,19,4861,87,FALSE,NA
UK,2020-06-17,105,55175,101,FALSE,NA
China,2020-06-18,1,4709,148,FALSE,NA
France,2020-06-18,28,29606,103,FALSE,NA
Turkey,2020-06-18,21,4882,88,FALSE,NA
UK,2020-06-18,90,55265,102,FALSE,NA
China,2020-06-19,0,4709,149,FALSE,NA
France,2020-06-19,14,29620,104,FALSE,NA
Turkey,2020-06-19,23,4905,89,FALSE,NA
UK,2020-06-19,88,55353,103,FALSE,NA
China,2020-06-20,0,4709,150,FALSE,NA
France,2020-06-20,18,29638,105,FALSE,NA
Turkey,2020-06-20,22,4927,90,FALSE,NA
UK,2020-06-20,87,55440,104,FALSE,NA
China,2020-06-21,1,4710,151,FALSE,NA
France,2020-06-21,6,29644,106,FALSE,NA
Turkey,2020-06-21,23,4950,91,FALSE,NA
UK,2020-06-21,81,55521,105,FALSE,NA
China,2020-06-22,0,4710,152,FALSE,NA
France,2020-06-22,24,29668,107,FALSE,NA
Turkey,2020-06-22,24,4974,92,FALSE,NA
UK,2020-06-22,83,55604,106,FALSE,NA
China,2020-06-23,1,4711,153,FALSE,NA
France,2020-06-23,54,29722,108,FALSE,NA
Turkey,2020-06-23,27,5001,93,FALSE,NA
UK,2020-06-23,97,55701,107,FALSE,NA
China,2020-06-24,0,4711,154,FALSE,NA
France,2020-06-24,13,29735,109,FALSE,NA
Turkey,2020-06-24,24,5025,94,FALSE,NA
UK,2020-06-24,101,55802,108,FALSE,NA
China,2020-06-25,1,4712,155,FALSE,NA
France,2020-06-25,19,29754,110,FALSE,NA
Turkey,2020-06-25,21,5046,95,FALSE,NA
UK,2020-06-25,108,55910,109,FALSE,NA
China,2020-06-26,0,4712,156,FALSE,NA
France,2020-06-26,26,29780,111,FALSE,NA
Turkey,2020-06-26,19,5065,96,FALSE,NA
UK,2020-06-26,79,55989,110,FALSE,NA
China,2020-06-27,0,4712,157,FALSE,NA
France,2020-06-27,1,29781,112,FALSE,NA
Turkey,2020-06-27,17,5082,97,FALSE,NA
UK,2020-06-27,73,56062,111,FALSE,NA
China,2020-06-28,1,4713,158,FALSE,NA
France,2020-06-28,0,29781,113,FALSE,NA
